,passage_id,delay,onset,is_gesture,word,bin_id,pos_prev,lemma,word_length,surprisal_prev,word_seq,word_mapped,is_seg,surprisal_2gram,surprisal_3gram,surprisal_4gram,surprisal_5gram,surprisal_6gram,surprisal_bert,surprisal_gpt2
0,01-G,0.04,0.181,TRUE,but,1,0,but,3,5.57,1,but,False,8.13308478927493,8.133015617912598,8.133015617912598,8.133015617912598,8.133015617912598,1.752825379371643,6.039064
1,01-G,0.04,0.422,TRUE,one,2,0,one,3,6.029,2,one,False,5.804202501055026,5.538609722734723,5.507718670683471,5.507718670683471,5.507718670683471,4.2696051597595215,5.344488
2,01-G,0.04,0.69,TRUE,person,3,1,person,6,7.984,3,person,False,5.576979516603893,6.562219620072614,6.3424462815488925,6.27895795050885,6.27895795050885,0.9454445838928224,4.1854773
3,01-G,0.04,1.109,TRUE,here,4,1,here,4,7.752,4,here,False,9.27377709898401,9.843368133133083,9.2022791633691,9.2022791633691,9.2022791633691,1.778659701347351,6.4820004
4,01-G,0.04,1.38,TRUE,knew,5,1,know,4,6.44,5,knew,False,11.716946947149422,11.527943336303338,11.464503315421116,11.464503315421116,11.464503315421116,3.790886402130127,5.9690123
5,01-G,0.04,1.609,TRUE,him,6,0,-PRON-,3,inf,6,him,False,3.751828890906395,4.436532875026908,4.436532875026908,4.436532875026908,4.436532875026908,1.7146894931793213,4.5055046
6,01-G,0.04,1.807,TRUE,differently,7,1,differently,11,10.252,7,differently,False,10.526301385275788,10.596089800078762,10.24492765472045,10.24492765472045,10.24492765472045,5.9600324630737305,7.5286627
7,01-G,0.04,2.296,TRUE,to,8,0,to,2,3.489,8,to,False,3.921089567597172,4.419306735400283,4.392208305227404,4.392208305227404,4.392208305227404,6.244712829589844,6.734812
8,01-G,0.04,2.392,TRUE,the,9,0,the,3,3.089,9,the,False,1.880865138671577,2.187228670806778,2.167374980124878,2.167374980124878,2.167374980124878,0.0001916701730806,1.8688359
9,01-G,0.04,2.482,TRUE,rest,10,1,rest,4,8.582,10,rest,False,6.230934908740815,6.533768230991253,6.764340536724859,6.70085165670575,6.70085165670575,0.016822850331664,1.1828188
10,01-G,0.04,2.843,TRUE,of,11,0,of,2,3.358,11,of,False,0.2799657021842822,0.1193727015683025,0.0196261495812357,0.0347460623982622,0.0347460623982622,0.0002554328821133,0.3335499
11,01-G,0.04,2.95,TRUE,us,12,0,-PRON-,2,inf,12,us,False,8.14202656030409,5.057340087682175,5.033339820869013,5.765268356705873,5.442317696577024,1.3733164072036743,0.46006882
12,01-G,0.04,3.56,TRUE,and,13,0,and,3,3.668,13,and,False,6.905187703889838,4.750909854590439,5.187707244474693,4.236658655202809,4.094177726337021,1.1756309270858765,4.0662465
13,01-G,0.04,3.705,TRUE,the,14,0,the,3,2.958,14,the,False,2.64608596099495,2.690435783831496,2.881483518230324,2.930383554056505,2.9523622054586363,1.7563672065734863,3.0933814
14,01-G,0.04,3.808,TRUE,family,15,1,family,6,7.491,15,family,False,6.752556701070334,7.853982734095249,7.925664028718247,7.863226992589848,7.863226992589848,5.387010097503662,6.0920496
15,01-G,0.04,4.265,TRUE,would,16,0,would,5,6.031,16,would,False,6.117417566425089,5.673329185563535,5.535652921484536,5.535652921484536,5.535652921484536,0.0194362644106149,5.266791
16,01-G,0.04,4.412,TRUE,like,17,1,like,4,5.94,17,like,False,5.345475593395061,6.96524985657815,7.014530609386695,6.948797502945237,6.948797502945237,0.8638356924057007,4.0474553
17,01-G,0.04,4.63,TRUE,to,18,0,to,2,3.441,18,to,False,3.5851717474367497,0.2735028289726464,1.0133795351957535,1.0133795351957535,1.0133795351957535,0.0028035643044859,0.29379454
